"","1996-04-01","1996-05-01","1996-06-01","1996-07-01","1996-08-01","1996-09-01","1996-10-01","1996-11-01","1996-12-01","1997-01-01","1997-02-01","1997-03-01","1997-04-01","1997-05-01","1997-06-01","1997-07-01","1997-08-01","1997-09-01","1997-10-01","1997-11-01","1997-12-01","1998-01-01","1998-02-01","1998-03-01","1998-04-01","1998-05-01","1998-06-01","1998-07-01","1998-08-01","1998-09-01","1998-10-01","1998-11-01","1998-12-01","1999-01-01","1999-02-01","1999-03-01","1999-04-01","1999-05-01","1999-06-01","1999-07-01","1999-08-01","1999-09-01","1999-10-01","1999-11-01","1999-12-01","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Mission",278600,273500,275600,280900,289000,294100,296800,301200,306200,305800,304100,304400,307300,310500,310700,309100,309400,312500,314300,315400,318900,326000,332000,338500,345800,354300,361900,369700,376000,381800,385000,387800,390900,393600,391500,391500,399700,411700,416100,416700,417700,422200,433300,451000,470600,490800,512100,530000,546300,566100,591500,615800,629700,631400,632100,635500,642300,651600,662300,663200,657100,652500,657100,661800,668500,676300,677900,675700,673600,672800,674800,680600,684300,689600,694600,696100,699900,711300,718000,712900,707200,707200,703500,698500,694300,692500,691300,690500,687900,688500,699800,715900,731400,745900,762700,781800,799700,809300,817100,833300,850200,863100,875000,885800,893000,897000,906400,920100,929700,934300,942400,950400,949900,948500,954900,964600,967200,969400,968700,963900,964900,959800,941900,930200,934300,938400,936400,933100,935700,939800,951500,980100,1016700,1049400,1079200,1106800,1127000,1136600,1132400,1130000,1134200,1139900,1129700,1105400,1077100,1058000,1040300,1023900,1015400,1007800,1005000,1007900,997900,978200,967400,959500,951900,945900,937900,927100,916900,911200,908700,907100,910700,915700,917600,916100,913100,916800,923600,922700,916700,916000,920000,930300,947300,958100,957900,956100,962900,969700,983100,998200,1013200,1026000,1035700,1026800,1023400,1039800,1054500,1054500,1049200,1045300,1041900,1045400,1056100,1067700,1075900,1086000,1086400,1078900,1091700,1121300,1142600,1157200,1186100,1219300,1239200,1253200,1277200,1298800,1322400,1358000,1394900,1435400,1476900,1527700,1565400,1588200,1611200,1652600,1681100,1707900,1729500,1743900,1757300,1772400,1782800
"Bernal Heights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270800,273500,274200,273900,274300,276400,280000,282000,285200,289900,295400,300100,304500,309700,316300,321200,324800,331400,336800,339600,341700,344700,348500,355200,357900,353200,350300,354300,360000,364300,370700,382400,398500,413800,426300,438600,454800,475300,494600,509600,517900,520300,521500,525100,526500,524800,522700,524300,529400,534200,534600,528600,520900,521200,531700,543100,546700,546400,549500,555000,556700,556400,558500,566000,576000,585900,594000,597400,597300,601400,607800,610200,610500,614300,619700,627500,636500,640900,638100,636300,641200,647700,654200,661700,671400,686700,703400,713900,719200,723900,726800,734400,749900,767300,783300,801800,818800,825200,828600,836500,848400,862700,878200,886000,889300,887100,880800,875900,877900,880600,883200,884400,880700,869700,862600,861400,857100,850200,849200,852000,856300,864900,874200,882100,894900,920400,949900,962900,952300,950100,959200,959900,947000,929500,916200,911400,903700,887700,865500,853300,862100,872200,864000,852300,850200,853500,851700,841200,829700,822400,819800,822400,833200,846300,849600,849800,853500,854100,849100,848800,852200,852900,851300,853500,853600,851000,854300,860600,855600,846800,843100,842200,838600,833300,833600,835000,830900,821100,817800,819000,824600,827300,827500,828900,839700,852100,863600,878000,896000,908200,920800,938300,956500,974800,1004300,1038800,1076900,1107600,1120400,1116100,1117500,1130300,1150400,1166000,1181000,1199800,1219100,1232800,1240200,1258500,1286500,1304800,1312700,1325700,1341700,1356600,1371400,1399000,1431300
"Excelsior",230900,228800,229100,230900,232400,232800,231700,230900,231400,234000,236200,236600,237200,238400,239800,241000,243000,246100,250400,254800,259100,262800,266600,271400,276500,280800,282700,283100,282500,282100,282100,282800,283600,284700,285300,285700,287200,290300,295300,301700,308700,316200,324700,334600,343900,351600,360000,368900,376100,383200,389800,393700,397100,400800,403500,405900,409700,411300,413300,420600,429000,431000,432700,438100,443400,447300,449200,448700,449100,451700,452100,449000,448500,453400,459200,464800,472300,477900,484700,495800,505100,508900,510400,513700,516900,520600,525500,532600,539100,545100,549700,554700,561100,566300,572800,582600,596800,610100,619700,624500,629000,637000,647000,655200,667000,688800,710600,724300,728500,732600,739200,748100,756100,762500,765500,764400,759700,754300,755200,760500,767200,770200,770300,766200,762400,761600,767200,770500,774100,783200,793200,798900,805200,811700,816700,819900,819600,815500,806500,797100,785700,769000,752400,741200,729700,715800,701100,689400,677700,664400,654000,651800,647800,637800,627400,619700,611800,605300,600400,596500,595800,598600,603000,607100,612200,618500,622800,621800,619400,619300,620800,619900,618200,616800,613800,609300,606300,603100,596200,589100,587700,588500,585900,583100,583500,584600,584200,582300,581400,581700,583000,584100,585800,588000,591700,600100,610900,621100,629800,636300,640800,647300,654500,661200,671800,686400,700300,710400,718800,727400,734400,738600,741900,746700,753100,758600,759100,759800,769500,783400,790500,791400,793800,800600,809100,820100,836400,857000,873700
"Central Richmond",341100,343700,350400,361000,368600,371900,373700,376100,379800,384400,391400,399700,406300,407800,409300,410600,413400,419000,428300,435500,438600,444400,454100,462300,469500,480000,489500,494600,497200,498900,501200,506900,515700,522800,528100,535100,543200,548700,549500,555500,567400,582900,600600,622500,642400,656500,665200,671800,684600,699100,716400,729900,738200,735500,730400,725500,723700,717400,717200,722700,724100,720100,716500,704700,693800,697400,702000,697600,694000,694000,692200,692000,695700,710500,731200,747500,759300,766300,767200,773300,780000,782700,786900,790800,788700,778700,768600,769900,777900,780100,780800,787500,801800,819100,832400,847000,867200,881700,886600,891900,901800,917400,944100,973000,997200,1030200,1059400,1072900,1075400,1082300,1090200,1105500,1118100,1132600,1137700,1127200,1106400,1086700,1070500,1058400,1057100,1064700,1069900,1062600,1053800,1043000,1033800,1026400,1020400,1019500,1022700,1029900,1039300,1051800,1067400,1079500,1086600,1093400,1093300,1094100,1106100,1110500,1107300,1099200,1087000,1077300,1076400,1077500,1071600,1053300,1044300,1043500,1035000,1018700,1013400,1018700,1024800,1015400,1002000,999500,1002800,1007500,1013300,1016800,1017400,1020100,1021000,1022600,1024600,1025000,1021600,1011700,999000,994100,990500,984900,980800,982400,984100,987500,989900,987400,978000,978300,992400,1008300,1017900,1027300,1041100,1055300,1063400,1059300,1053800,1055600,1061800,1064400,1070200,1080900,1093400,1102600,1107300,1114800,1126900,1135700,1143600,1165700,1199500,1226700,1241200,1249000,1251800,1261200,1280200,1300300,1318100,1337400,1356000,1374500,1392000,1399300,1411800,1434300,1465500,1495600,1518400,1525500,1537200,1566300,1597700
"Bayview",199600,195200,193200,192000,191600,191900,192100,193100,193800,193400,191500,190000,189900,190400,191300,193100,194100,195200,198900,203300,207700,212300,215500,217200,220000,223000,223500,224100,227200,230200,231200,232300,235900,240500,245200,249800,254600,256700,258400,261500,266100,272500,279200,287100,298700,311500,321500,330300,338700,348000,358300,366400,369500,370100,369900,369900,368400,364400,361300,363100,366400,368700,372100,376700,379100,379600,379900,379900,379200,381100,387400,392700,394700,399100,407900,416200,422600,427200,431200,434100,434800,434400,433500,433200,437400,441900,443100,445300,455000,467200,480000,494700,510200,521400,528300,534800,544100,556000,561300,558500,554800,555200,557500,559500,564600,576500,593400,607200,609900,607100,609300,618900,625800,630500,635200,639100,639800,638900,636000,634800,640000,649600,658600,662200,665000,665400,659500,650700,649000,651900,656400,662600,669700,676900,682900,689100,689800,688600,688300,684600,672800,661300,651500,637800,623200,609400,598600,588900,578300,570100,569900,574800,575900,570700,564300,563100,560800,551900,539900,531100,531400,537000,541200,543700,546900,549200,548000,543800,538000,534400,531600,529200,527800,526400,522900,517900,512400,506300,500900,496300,492400,488700,488400,488200,488000,488000,486800,482800,482800,485000,484700,483700,486100,491800,496100,499100,503600,508400,509700,509400,506500,505400,511900,521600,530700,540200,551300,564200,576700,586200,599300,616000,632500,649500,663500,671300,683900,700100,711000,718300,715800,697100,681100,683400,692900,699700,706300,719300,733300
"Central Sunset",288100,288600,290700,292200,291400,290400,291700,296600,300300,303000,307000,309600,312200,316800,320100,322100,326100,331400,335700,338200,341500,346200,349700,351700,353800,356000,359800,366200,371700,374300,376600,379100,381100,383900,387700,392400,398600,406200,414300,421900,429700,437700,445700,454600,467200,481100,495200,508700,522700,532400,536200,537700,541800,547200,552200,554800,555500,553200,547300,543700,540800,540000,544600,550500,554700,559200,561000,561600,566100,573000,578600,581600,585600,592500,599300,604200,609100,614200,619400,624300,627100,627100,629000,633900,638400,641200,644900,652000,663000,675300,686300,696200,705200,714000,721900,732900,747200,756400,758800,761500,765100,769000,776500,788000,802700,821500,841500,855700,859800,862400,869900,882300,890100,890800,887100,880700,870600,861700,853200,842500,834600,835000,836000,831300,826000,823300,825000,830900,840000,850000,866600,889900,907500,917100,925800,930900,928800,928400,925500,916300,903400,892200,878900,864300,859200,858500,850800,840700,837500,833800,830500,829400,827600,823900,820900,816100,809000,803300,802000,803400,804600,806900,813700,820800,823300,822400,819100,815400,814800,815900,814600,810700,806800,805300,804400,804600,807300,807200,800600,793100,786000,778600,774000,773000,775300,776200,773000,771600,776200,781100,786600,794600,804800,813900,823300,835300,847400,858100,871300,883900,893300,904400,919600,935800,947800,956300,973000,995900,1017900,1035700,1049200,1059700,1071400,1084900,1099100,1110100,1120100,1134100,1143800,1146600,1145400,1144800,1145100,1145700,1146500,1151600,1160100,1173200,1186300
"Visitacion Valley",197500,198300,202400,207600,209500,208800,209200,211700,213500,213900,215000,217400,219000,220200,220800,220700,219400,220100,222500,225500,227000,227300,227100,227600,229200,230000,230100,231300,235400,240100,242800,242300,243000,247300,251400,254600,258100,261700,264900,269100,274100,279400,284400,291600,299900,309000,317500,324200,330500,337900,344500,350600,357600,363000,369000,374300,377500,376600,376500,377000,377700,376900,376600,375200,373900,374800,376000,377000,378200,382900,391800,401500,409600,419300,429700,438600,445000,448600,451600,455000,457700,458100,456700,454300,454500,459200,467800,478100,490200,500300,506900,513400,524400,536500,546200,556200,565600,568600,564300,559400,556800,556900,559300,566500,576000,586900,600700,616400,628300,634500,639600,646800,655300,663300,669000,668900,663200,656700,652200,651400,654100,658000,661600,663900,667400,670600,674600,678900,684600,688700,690700,692100,695000,701300,708200,712800,710600,709000,708500,704000,696100,689700,680900,666600,650100,636900,625300,612300,597300,584900,578300,576400,573500,569700,565600,560800,556200,553500,554100,556700,559800,559800,556500,554500,555700,558600,560400,560200,558700,557300,555400,552700,551500,551900,548500,540800,534300,528800,522100,517900,514600,507700,497700,490100,486000,485300,487800,491100,494800,497500,500700,505400,510800,514700,522100,532500,542100,550400,558700,565600,570100,574500,581000,589200,601200,616900,632300,643700,651000,655500,663600,674500,681600,686300,695600,701200,704500,712600,720800,725900,733600,738100,737500,740800,748000,755300,762300,776000,791200
"Parkside",282200,289600,296400,300000,302000,303600,304800,305600,306000,306900,309000,311300,313900,316200,317600,318800,322000,326400,330500,334400,338100,342700,346800,349600,349800,349100,348400,350400,354400,358600,362600,368300,373500,377500,382200,386800,391200,397200,404400,410900,416700,423700,433200,443400,454700,468200,483300,495900,504600,510200,514400,516900,519100,522000,524300,524100,523300,524400,525400,526400,527200,527700,530400,534400,537300,540900,543400,542500,540700,539800,538000,538100,542100,549400,558300,567600,574400,576700,576700,578600,582000,583100,583700,585300,586600,588000,591800,598700,610000,622300,634800,649400,665000,679600,693300,708400,723800,734900,739100,739700,738200,739900,746600,753800,760900,772000,786600,797700,804000,808500,816700,831500,847300,857600,862700,867100,869100,869100,867500,864600,862900,864700,867200,865500,862200,860500,862500,864400,866800,869200,873600,884400,897500,908800,916300,918900,916000,911500,902100,890000,878900,872200,866900,857900,849900,843200,830300,814800,803000,791900,783900,779500,774600,769500,765100,759800,753100,748800,747500,749900,754600,760000,765000,772700,781400,786600,788700,788100,788100,789800,792100,788400,784300,785100,788600,789300,788500,783300,773900,765700,758700,751300,745300,746100,751500,756000,756900,759300,766400,775000,781300,787500,797700,810900,823600,834200,842300,853800,869400,883300,893000,902600,910800,919100,929400,942400,962000,984600,1005600,1020600,1027700,1027200,1025400,1029000,1044700,1058800,1065100,1067700,1071200,1074200,1076800,1074400,1078400,1089200,1098800,1108700,1122800,1144400,1167300
"Pacific Heights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1544400,1551100,1579500,1613000,1630200,1657000,1699800,1722000,1724200,1735400,1765000,1784800,1807100,1831200,1858900,1873900,1889700,1914500,1952400,1979600,1993200,2020200,2056600,2089400,2119700,2176500,2243300,2317600,2394800,2486600,2540200,2552000,2528200,2523600,2546400,2615800,2671800,2688300,2672400,2665400,2644600,2632000,2606400,2558900,2522600,2504200,2473100,2421200,2424300,2462400,2488000,2496800,2524200,2547500,2570600,2607200,2643200,2670900,2700200,2767000,2825700,2831900,2827700,2832000,2837500,2831500,2833100,2835600,2840900,2851500,2864900,2891900,2922600,2950800,2970800,2992900,3026400,3086100,3155100,3218300,3276900,3305300,3323800,3335200,3313900,3286600,3300100,3336300,3350600,3377300,3413300,3450800,3469700,3494100,3508400,3513700,3517300,3529400,3521800,3509700,3504100,3479200,3450600,3433200,3435900,3450000,3459500,3453100,3456400,3457900,3475200,3496500,3510900,3507600,3517800,3553500,3602400,3618900,3621100,3628600,3636000,3642700,3638000,3602700,3563100,3569400,3582100,3560700,3531400,3516400,3492300,3451500,3411200,3398900,3399100,3408700,3399400,3337700,3263100,3211600,3158200,3121300,3122600,3125400,3120300,3117400,3124500,3137600,3157200,3179400,3197800,3212900,3225800,3231900,3222100,3207100,3198800,3201700,3206800,3209800,3219800,3234700,3238300,3235000,3235400,3231600,3220600,3214600,3229100,3242900,3237500,3235300,3253700,3276300,3307300,3335500,3363800,3405700,3463100,3515800,3573700,3625300,3691600,3753300,3794000,3829500,3881900,3926100,3996000,4095200,4195700,4292500,4364600,4396400,4413800,4437800,4477400,4553200,4640700,4709900,4715900,4694800,4706600,4765600,4826700,4885700,4908700,4918800,4922700,4930300,4907400,4931800,4988600
"Inner Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806500,814700,824400,832700,845600,865600,887100,893100,883300,867600,854800,842800,849600,871700,885200,878600,869600,860400,848100,839800,837800,836000,829300,827200,824000,810300,803000,820200,842000,851700,861200,872800,878000,873800,865500,863700,869000,872100,869000,864300,862700,865100,870300,878100,887700,899200,924400,955200,977400,1000200,1022100,1037500,1049400,1063300,1068800,1070600,1079100,1106500,1141000,1162300,1176600,1199100,1229600,1240500,1232500,1235300,1257100,1282800,1302200,1317900,1321900,1313800,1298100,1281900,1263200,1248800,1240600,1229800,1215000,1192200,1174800,1156000,1129600,1110600,1110800,1120900,1137100,1159400,1183100,1215500,1255800,1293800,1309200,1311200,1318700,1322000,1308900,1286700,1281600,1290300,1303000,1296700,1276600,1252600,1242800,1230600,1228300,1250500,1289400,1303800,1286100,1265300,1254500,1232700,1204500,1199800,1213000,1230500,1237200,1239800,1239100,1238200,1233700,1234900,1229500,1228700,1230500,1226500,1214000,1212800,1211800,1205900,1204800,1211500,1217500,1224000,1227300,1225600,1227800,1235100,1244000,1251600,1257500,1261000,1254300,1249700,1256800,1268600,1287100,1314800,1338700,1373100,1428300,1484100,1526600,1549000,1562000,1587000,1624200,1640000,1647500,1671000,1708900,1717700,1691500,1651400,1629700,1629300,1642200,1663000,1691900,1727100,1755700,1768900,1780100,1791800,1796400,1806800,1822700,1836400,1858700,1895800,1928400
