"","1996-04-01","1996-05-01","1996-06-01","1996-07-01","1996-08-01","1996-09-01","1996-10-01","1996-11-01","1996-12-01","1997-01-01","1997-02-01","1997-03-01","1997-04-01","1997-05-01","1997-06-01","1997-07-01","1997-08-01","1997-09-01","1997-10-01","1997-11-01","1997-12-01","1998-01-01","1998-02-01","1998-03-01","1998-04-01","1998-05-01","1998-06-01","1998-07-01","1998-08-01","1998-09-01","1998-10-01","1998-11-01","1998-12-01","1999-01-01","1999-02-01","1999-03-01","1999-04-01","1999-05-01","1999-06-01","1999-07-01","1999-08-01","1999-09-01","1999-10-01","1999-11-01","1999-12-01","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Excelsior",257500,252300,250200,250200,251200,251100,249500,249700,251100,251200,250300,250500,251900,253700,256700,260500,264500,269600,274700,277700,281900,287200,290600,295100,300900,304300,303300,299700,295100,293000,291900,291900,290900,291300,292700,295300,297500,301400,306900,314800,323000,330800,339900,349900,358800,369100,380700,388600,396400,406800,414300,417900,421700,422600,422500,422600,423800,424300,426700,431500,439900,445500,450100,453200,457800,463200,466600,465300,467200,469600,469200,465100,461400,459800,461300,464800,470500,475100,482400,499800,515800,519700,519400,525500,530600,532300,538200,550800,561800,569200,576000,579800,583300,588900,597200,610600,627800,642800,651000,656200,662200,673100,683000,691000,699900,716700,736300,749700,755400,764300,776500,786300,793300,800100,802600,800200,795400,792900,795600,797200,797200,797400,794600,785200,775900,773500,780500,785400,787700,794700,803500,811700,819100,826800,835700,846300,848900,842100,829900,820000,810200,794500,774000,759100,747500,731600,714700,701600,690800,678700,670000,668300,668700,664600,656300,642700,629300,622400,618000,612700,611700,616400,621200,623300,625700,630000,634600,639100,647800,656000,659100,657600,656800,656400,652500,644000,638700,636700,631900,624900,620100,616700,612900,612500,615400,612900,606000,601200,597300,593400,593600,598200,602100,604800,608600,614200,618900,628300,642800,654300,661400,671700,682100,689200,698500,709100,718800,727500,737800,746800,753900,760800,766600,768000,772500,778400,777400,776700,787500,803000,810700,811300,814800,825100,837800,850000,865100,884200,900500
"Central Richmond",359800,367000,375200,384900,395400,403800,407500,413800,424400,437000,445500,451600,456700,460700,465100,471700,479000,484600,492800,497700,500600,504900,512300,518200,525100,533200,541500,546200,549100,548000,543100,540000,544500,551400,558700,568200,580200,587400,591600,602500,620800,643000,668000,695500,716000,728100,739200,753800,764000,772500,782700,794100,796400,791200,789600,791500,782600,767400,762800,774600,790000,793000,785900,763700,749100,754200,765000,766400,778500,791400,796900,793900,793900,812300,845500,873100,887100,883400,870700,869400,873000,882700,901200,915400,918500,914600,906600,902500,902400,909700,930500,962500,991400,1009900,1016300,1027700,1041200,1054200,1063900,1081700,1107300,1132600,1138400,1133400,1142100,1171000,1199100,1212000,1218600,1223700,1225800,1231400,1241000,1261700,1291600,1296200,1267700,1236300,1213800,1197400,1199800,1211200,1216100,1216300,1216100,1208300,1204000,1215100,1237100,1251600,1262300,1279100,1294500,1300300,1313100,1329700,1329900,1324500,1315800,1301600,1288100,1284800,1279600,1264200,1247900,1238500,1230700,1213600,1199900,1186700,1184300,1189000,1190400,1182000,1177000,1167500,1152400,1148600,1156900,1162800,1171700,1190700,1200800,1202000,1202100,1207000,1217300,1241200,1257800,1255000,1254100,1273600,1282100,1261700,1231100,1212100,1205700,1197000,1176700,1166300,1169400,1161800,1137900,1122000,1127700,1146400,1162500,1169200,1174900,1185700,1198700,1210500,1227700,1250500,1265900,1267900,1264600,1261900,1261600,1266500,1277900,1292300,1306300,1307900,1295900,1295600,1316600,1336300,1343400,1344500,1350100,1364100,1376600,1382000,1395100,1405400,1420500,1447300,1461200,1465500,1484000,1510100,1542000,1583100,1615000,1639400,1673900,1720600,1761900
"Bayview",201100,197000,193100,191300,190600,188500,184000,179300,177700,178500,180000,181100,182100,184200,188400,191800,193500,194300,196700,198600,202900,208000,212000,214600,216800,215600,213800,214700,218000,222000,224300,225600,226100,226200,227400,230400,233500,236300,238100,240200,244500,251600,259500,268100,276700,287300,297300,304600,312300,324500,337000,345600,347700,346100,347700,354300,359800,361200,363000,365500,367700,369300,372800,374500,375700,380400,389000,392000,389100,385700,384300,384200,386300,390200,396100,403500,413000,417400,414500,412300,415300,417100,419100,423900,429400,431100,430600,433500,440600,447100,453700,463600,474000,482500,488000,495600,504800,516100,524700,530900,535700,541900,549500,559800,571800,587900,606300,620100,628700,634500,636400,640700,647300,655400,663200,668800,668900,670400,673600,676700,679900,687800,696900,696100,691100,687300,684800,680500,681500,688300,696600,701200,706600,715200,722200,725000,720700,712500,703500,693700,682400,665800,651600,644200,636700,622700,612100,605400,597300,594700,598900,601000,597900,591200,579600,566600,556700,548900,542300,540100,541200,541700,538100,535900,532300,527000,519400,511800,503100,496400,492300,488800,486900,487700,489300,485400,478700,476500,474000,470600,469000,465200,457500,451400,452400,453000,451900,457100,469400,475400,480400,487700,493800,500700,513500,521900,524500,526100,529400,531200,535400,543300,553000,563200,576300,592900,605300,617000,624400,627300,630300,634700,639400,649800,664700,667900,660700,654500,657900,669100,685400,694300,693900,695200,700300,705700,713200,732300,754400
"Central Sunset",303400,303800,303500,303700,304400,306500,309500,314900,318500,319100,320900,323300,325700,329300,335300,342300,347500,350500,352400,353400,357000,364500,371600,373800,373300,373800,377800,383300,387200,387700,388000,389700,391900,394100,397200,402400,410700,421800,432300,439700,447300,457400,469100,482700,498900,512300,522700,531800,542000,548700,550300,554500,563600,571300,573900,571900,569200,566600,562700,560000,559500,560600,567000,569300,566000,564400,566200,568900,572500,578700,586200,591500,594300,598800,603500,609100,618200,629400,639300,646700,651500,653700,656500,663000,669200,672700,672700,674000,678900,686700,693600,701300,710500,720500,726700,736400,752200,765100,770700,777100,782800,787900,796800,810100,823500,839400,858000,870200,873100,876100,885400,899200,911100,914400,911800,904200,893700,886200,883200,876200,868900,868300,870600,865500,858200,853500,854700,858300,868300,879100,899700,933000,964900,979300,993800,1013000,1028900,1041600,1050600,1054600,1049600,1032900,998700,963200,941400,934900,922300,910400,900200,891000,879600,868900,862000,869700,880900,885100,883400,877500,870600,864500,861500,861500,865300,869700,871300,870700,871900,869900,865300,862100,857200,848800,846800,851600,857600,866300,873200,871200,864700,858800,854000,853200,860000,867400,864900,854200,845400,843800,846700,846700,845000,850600,864200,879800,892900,902100,914600,932700,948700,958800,967100,975000,982900,991500,998500,1005800,1019200,1037100,1054500,1068500,1083200,1096300,1111400,1131400,1154900,1167200,1175000,1191500,1209400,1219400,1226500,1229900,1227900,1227600,1229500,1232900,1244500,1269700,1295600
"Parkside",307800,318400,328700,331800,332300,336200,340900,341800,342500,343600,344400,346400,348500,349500,350600,354900,360000,362500,361800,361600,361300,363300,366100,369300,369600,367500,367100,369900,371900,373600,377100,382900,389100,394500,401400,410600,418900,427600,435900,441700,447700,457400,469100,482100,495600,508300,523200,535600,539800,538400,537800,537300,538900,540600,541800,543700,547600,549800,549400,548000,548100,550200,556800,563400,564200,563600,565400,565100,563700,564500,565900,566900,570200,575100,581700,589500,599600,607600,608800,608000,608000,604800,601900,604900,610100,614800,618300,623100,633100,646500,659500,672600,688200,705600,719800,733300,748900,760200,763200,765900,769500,774400,783800,795100,805300,819800,838800,854100,862700,867900,876000,891400,907400,913400,914200,912600,908500,906000,903900,898200,897400,903600,911500,912700,905500,898200,901400,908000,911400,909800,914200,933500,955600,967400,976000,989700,1001300,1010800,1010800,1012000,1009400,998100,977100,955100,938300,934100,923900,899700,875700,859100,848900,840100,835800,841600,855100,856500,847500,839000,836000,838400,844700,844500,839400,841000,848200,855400,858400,858000,858900,858600,855200,848200,845300,852000,861800,861400,857900,852100,838600,826300,819700,813400,806300,804700,805500,807000,808900,811700,814900,818400,824100,835200,852600,872100,891200,906500,917600,931900,950700,967000,980200,995400,1008600,1009300,1002200,1003500,1014300,1027000,1045200,1066000,1077000,1080400,1083300,1088500,1097600,1108900,1119000,1131400,1148000,1162500,1173400,1173500,1172200,1179100,1189300,1193600,1209500,1243300,1277000
"Pacific Heights",3080200,3102000,3114900,3117800,3118200,3121400,3130400,3146600,3160600,3178000,3186300,3181800,3182700,3194500,3201600,3229100,3291400,3346800,3365600,3369800,3379600,3398000,3408100,3408100,3401200,3393000,3382900,3404700,3445500,3459700,3453600,3454600,3463100,3473900,3509200,3543300,3569100,3588700,3608800,3622400,3640000,3667400,3726100,3816000,3892300,3929200,3936600,3937800,3951900,3976300,3976200,3947200,3903300,3866700,3834900,3813000,3783500,3745200,3727700,3739600,3728500,3710700,3746600,3772800,3759400,3758700,3790800,3812600,3839900,3870700,3900700,3944300,3983300,3981800,3978100,4035700,4112000,4143400,4138200,4136500,4148900,4163300,4167000,4146300,4126300,4134300,4163900,4189400,4241000,4302600,4344900,4359300,4390900,4424700,4501000,4618100,4720200,4780800,4818600,4817900,4762500,4696300,4658700,4702000,4798200,4903800,4954200,4950900,4960900,4987300,4993700,5009000,5045500,5103100,5120000,5055300,4955400,4900500,4837200,4773700,4780900,4864900,4912400,4915100,4957500,5055800,5176700,5251100,5232000,5200400,5242700,5305200,5366700,5401000,5484500,5635000,5706000,5660500,5646700,5710000,5769800,5809500,5810800,5831300,5778300,5678900,5578500,5438300,5307500,5247500,5211600,5155000,5149500,5159500,5162000,5124900,5081100,5055400,5019600,4969300,4969200,5016500,5031100,5010200,5007100,5012900,5017800,5016300,5003400,4989700,4970400,4947400,4943900,4978600,5012500,5042200,5045900,5025800,4997400,4993900,5013000,5016400,5049500,5112500,5124500,5059500,5025100,5047000,5089100,5100900,5102400,5133900,5245000,5393700,5496400,5582600,5700600,5806200,5886400,5980500,6100800,6252400,6385000,6470200,6537500,6633400,6732400,6861600,7010500,7092800,7153200,7280400,7387900,7474500,7615200,7701200,7711500,7737900,7801700,7853500,7902900,7938500,7949500,7951700,7971900,7985100,8016500,8138700,8281300
"Portola",277400,280100,280800,280400,278500,275700,274800,275300,274800,277100,281300,281000,276900,274300,275400,279600,285600,290800,294200,296000,301000,307400,308800,312700,324900,337100,343600,346200,345600,343900,341400,341000,342400,344200,347700,350200,348700,349000,351500,355200,362400,372300,382700,395200,408800,424800,440500,451700,456100,459200,462800,465100,462200,457100,454400,454200,453100,447800,442500,441700,444800,446100,448200,452500,460600,470000,480400,486500,492300,498700,503800,505900,509100,517000,528600,539300,546500,554800,561900,565200,562200,561300,565700,572500,576600,581000,587100,594500,602500,607600,608600,615200,630500,646900,658200,666200,671000,674200,678900,685600,691900,700900,711300,720100,726800,736700,748400,763200,781400,801000,812900,818200,824200,829800,825700,818800,817100,815100,810000,803100,798400,798400,799900,793700,787100,790800,811900,827300,827100,823500,829700,836700,842900,843000,841200,848600,864000,873200,874300,871200,866400,859400,855000,858500,865500,858500,840200,825200,806100,775000,749700,740100,738500,738200,734900,722900,708100,696100,689900,686500,686300,689200,690900,693100,695000,699300,702100,700400,697600,700200,702400,699700,697100,698700,700900,699900,702700,704900,700400,692900,687800,686400,690100,694700,696600,694200,685100,676200,665600,650200,637900,639700,644200,647500,651400,658100,664900,674900,685500,696300,707800,721600,734700,749500,768600,790500,808300,820700,831400,841100,855500,873700,888000,896700,908000,911300,904700,905900,919100,928800,935300,943800,949200,952700,959600,970000,981600,998400,1015400
"Outer Parkside",281500,287800,296600,303400,303600,299000,299100,303400,305400,305400,306700,306800,306000,307000,309300,314300,319300,322200,322800,323700,326600,331900,334100,334200,334200,333200,331400,331800,335500,338800,337200,332900,332800,336300,341000,344800,347800,352900,357600,359900,361100,370500,385900,403100,415900,427100,436200,444800,451100,458300,465800,474000,486600,498300,501000,498300,499100,502400,505600,511700,520100,525600,528900,527900,522500,517800,517000,517500,517400,517100,518500,521800,525100,529700,534800,539900,541500,540000,536700,537500,541600,546000,548500,549200,551300,555200,563400,574400,591300,610800,633500,651800,663300,672300,688800,708700,724800,731600,733200,736600,740500,745700,754600,764000,770300,778800,790400,801300,806800,809500,814100,821200,824600,820300,814100,813900,816800,816700,814400,812300,815100,823400,828700,826900,830700,839900,848800,851800,856400,866100,869200,861500,859900,864200,863100,861500,859200,853200,842700,830800,821100,813500,808700,806800,799700,788200,780400,773500,764200,757600,752600,749100,744800,739300,733400,730100,727600,726100,726200,730100,734800,737700,741000,749000,757000,761400,764700,769100,770900,769300,768000,767700,769400,772900,776100,774600,772200,767600,758600,749800,746700,746300,740900,735300,732700,732800,732100,734000,738500,746900,752700,750200,752200,763400,779100,791500,801200,807600,817300,828000,838500,848200,861500,876400,896100,921100,945300,960400,976400,994600,1011900,1024600,1026000,1021900,1030000,1037200,1030300,1025600,1034500,1041900,1037300,1026900,1020400,1019400,1022800,1029800,1039000,1063100,1091900
"Presidio Heights",3172900,3184700,3203900,3219100,3234200,3245800,3242500,3242600,3249500,3257100,3269500,3280700,3278600,3282300,3288900,3308500,3335900,3366400,3390900,3416500,3421300,3418700,3424100,3428800,3418500,3413300,3420300,3423800,3425000,3416800,3391500,3379200,3384800,3388400,3395500,3413600,3448700,3501400,3541000,3570800,3586800,3609900,3688100,3776300,3835000,3899700,3965100,3996200,4026600,4049600,4065300,4046700,4003600,3948300,3886600,3843600,3796800,3752000,3731000,3727100,3653100,3567900,3527800,3522800,3525800,3557300,3607600,3636100,3666000,3681900,3700600,3709100,3751600,3778900,3802900,3811500,3824400,3847800,3867200,3880100,3930800,3990700,3977700,3970800,4005000,4035800,4054800,4106400,4166800,4176700,4173600,4196600,4215900,4233400,4278700,4313000,4337000,4370100,4367200,4357900,4381600,4425500,4449200,4441300,4454300,4490700,4499100,4511000,4546800,4568000,4599000,4660100,4701600,4696100,4664500,4625400,4573500,4529600,4531700,4547200,4546600,4564800,4584500,4562000,4543900,4585400,4651800,4695600,4719500,4750400,4802200,4842900,4890900,4955400,5009200,5056300,5100700,5114500,5113600,5160500,5191800,5195900,5175400,5185400,5200200,5200600,5179700,5124500,5032300,4992400,5030300,5069300,5089000,5106400,5122400,5123300,5095500,5076400,5066300,5067100,5104900,5170000,5199600,5205200,5233500,5233000,5204300,5178800,5177800,5143000,5127300,5135000,5132500,5083300,5055300,5055000,5056500,5057100,5059000,5060000,5055800,5080100,5117500,5149400,5163500,5183100,5194200,5210200,5242100,5279000,5332200,5373000,5431300,5527900,5636800,5744000,5890400,6009400,6079200,6161600,6281600,6434700,6574300,6664200,6740600,6865000,6992700,7115200,7254600,7364900,7394700,7410500,7434500,7486500,7552200,7582600,7587100,7614200,7673100,7721200,7718800,7684500,7718300,7755900,7751900,7732000,7787800,7954300,8145200
