"","1996-04-01","1996-05-01","1996-06-01","1996-07-01","1996-08-01","1996-09-01","1996-10-01","1996-11-01","1996-12-01","1997-01-01","1997-02-01","1997-03-01","1997-04-01","1997-05-01","1997-06-01","1997-07-01","1997-08-01","1997-09-01","1997-10-01","1997-11-01","1997-12-01","1998-01-01","1998-02-01","1998-03-01","1998-04-01","1998-05-01","1998-06-01","1998-07-01","1998-08-01","1998-09-01","1998-10-01","1998-11-01","1998-12-01","1999-01-01","1999-02-01","1999-03-01","1999-04-01","1999-05-01","1999-06-01","1999-07-01","1999-08-01","1999-09-01","1999-10-01","1999-11-01","1999-12-01","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Bayview",151900,148400,146100,144300,142600,140600,139500,138800,137600,136400,136600,138100,140800,143200,144400,145500,146800,148600,150300,151800,153100,154700,155700,157000,158400,159500,161200,163800,166100,168600,170900,173000,175800,178100,179800,182700,185000,186100,188700,192200,195200,198200,202000,206800,212800,218900,224500,230000,235400,240900,246300,251000,255100,259200,262100,264400,266100,266900,268200,271100,274500,277700,282100,286000,288900,292800,297600,301200,304700,308200,310500,311800,315600,322100,328900,333800,338900,342700,345100,347800,351900,356200,359400,361400,363300,366100,368300,371700,378000,385600,393800,403400,413100,422600,433300,445600,457200,462800,462900,462200,462900,463900,467500,473000,478600,485700,496300,506000,512100,518000,524800,533600,543400,552500,560200,564800,565900,566100,567000,569600,575800,583600,589300,591000,590900,592200,591000,584100,580100,582100,584500,585700,588200,591700,594900,597900,595900,586600,573200,562200,553400,545400,537700,529000,519500,509200,499600,490700,482300,475800,474300,476400,471700,457300,440500,426400,412000,399800,392300,387800,383800,379300,375500,374300,375800,379400,384200,388100,388100,384300,379300,375500,373100,371900,371400,371100,369800,366500,358800,349800,343300,339800,336600,335200,333700,330400,326300,323400,322700,323000,324400,326300,329900,334800,339800,343800,347700,351600,354900,359100,365600,371400,376000,381600,389200,399700,413500,423800,433000,448000,464300,473200,478400,486700,496500,505800,518200,531000,539800,545100,552900,562600,569800,572200,575100,583400,598100,617500,634700
"Downtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375100,375000,371500,366300,358700,345700,331700,327200,334400,339600,339600,342500,350600,358900,367200,375200,379800,382500,385900,392100,396100,395200,400600,413800,419700,413300,406300,401200,398500,394600,391500,391200,391100,393400,392900,384900,380700,389700,398300,400600,400500,404000,407600,407200,399500,392900,389600,386400,381400,377300,373700,372200,370400,369200,368400,368400,371200,375900,375900,372000,366900,361300,356000,352800,353300,359000,366400,371300,371300,365900,358800,354900,352200,351500,351200,349800,347000,344100,340000,337700,337800,338100,337600,338400,337400,332400,327900,326300,324400,321400,320300,318500,316300,315200,317200,319800,323200,325600,327100,331400,337400,342800,345600,347200,348900,354300,362000,368600,376200,380800,383500,385700,390000,390600,391200,395300,404700,413000,422400,434600,447600,463000,484200,507600,521100,523700,524800,529700,531500,532500,534600,534000,535500,543700,551900
"Visitacion Valley",154900,148300,145300,144000,145900,148600,147900,144800,142900,142900,143800,146900,150300,151800,152700,154500,155100,154000,153800,154600,155200,154800,154400,153400,153500,154700,156800,156700,154600,151900,150700,149800,150400,151000,152700,156600,160200,160300,161500,167600,174600,178400,180800,185800,193400,199900,203300,207400,213300,221100,228700,233600,236300,242500,250200,256400,260000,260800,260400,261700,263600,264800,267100,269000,271600,275000,279200,283000,287300,292100,295600,297200,302700,311700,316700,317100,317400,321400,330700,340700,344900,346100,347800,348700,349300,349600,346800,345400,349000,353500,356000,358000,361600,367700,375700,385400,393800,400900,409700,418900,424400,426300,426000,426600,430600,435600,444000,456400,465900,468900,473400,481000,486900,491200,496300,501100,505000,505500,504600,506800,513100,520000,526600,530200,531900,535000,538600,539600,542000,550200,561800,569900,572200,570800,570000,570100,565400,560000,559100,559100,557500,561100,557500,538600,518200,508100,500600,499600,508600,513800,508000,504100,500200,488700,476400,474700,481600,486900,485200,473800,463900,453700,438600,421000,409600,400700,396200,393200,388800,384800,380400,377100,376300,378300,381300,384000,384100,383100,379200,374200,372600,374700,376700,376800,374600,374200,376600,379000,379900,378900,377500,376200,377500,382100,390400,396900,400100,402300,406000,406700,404100,403400,404400,402700,404100,412400,424800,438700,453200,465500,484400,511800,537700,558200,579200,588100,581600,571400,564400,554800,545500,539500,540100,547300,556000,565700,576400,604600,640900
"Van Ness - Civic Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317400,315100,310400,310700,313600,316700,317200,317900,316500,310900,305900,304600,303300,299300,296400,294700,291900,285600,280600,281500,289100,300000,308200,309800,312700,324500,338300,345800,350400,352600,351300,345500,340900,336300,337200,347900,364200,372700,378100,384300,390100,397500,406600,414200,419800,421900,424000,431600,435700,429200,423200,423500,422800,418700,417200,417400,417800,422400,420200,406900,397000,404900,415100,420000,420100,421400,421300,420900,417100,413400,416400,418100,410300,397400,388800,382400,379900,380000,380100,380000,382600,386100,377400,358400,345200,341400,337000,331500,327400,325000,323800,323700,323300,322000,323000,327800,332800,335200,334200,332300,332200,332600,330500,328300,327400,327300,328600,333300,334700,330000,327500,328500,327600,327600,331400,334400,335700,336700,339500,342100,341500,337100,332600,331100,331900,328500,322200,318700,316400,313500,315700,322700,330700,338100,345100,353600,366800,383200,395800,403600,410600,416400,421200,427800,437700,448100,460500,473600,482100,481500,479500,479600,479800,478800,478400,482100,490200,500600,509500
"Crocker Amazon",175000,170300,167100,164700,163400,163900,165100,167000,169800,171400,170500,171100,173800,176800,179900,182200,182500,182800,185000,187300,188600,190300,193500,197900,202100,202000,199200,198100,201800,209200,215300,217100,216100,214800,214500,215100,216700,219900,225500,230800,234800,236700,238700,242700,250600,258700,266600,275000,284200,290400,293600,299700,309700,313000,309400,307300,308700,307800,305500,303100,298200,294500,299200,307100,310400,310500,311800,315300,320000,324100,326000,327100,330700,343300,360500,372600,376900,383900,394700,403700,406400,407500,410400,415900,421400,420800,413600,404600,400100,401200,404900,410600,417800,426400,435200,444500,455400,465900,469300,469900,471100,475400,479200,477300,474100,475200,474300,471800,474200,478700,482500,488700,496800,500300,506300,519400,534100,544700,559100,574300,581900,579100,579200,583200,587600,587500,575100,552500,530400,517600,514900,519400,524400,526600,525700,520800,517200,514900,516400,520400,527000,533000,532700,521100,505600,497100,491400,484700,478500,475700,473500,474100,469100,454000,436700,423800,410700,399700,392500,388300,383400,377000,371300,368300,367900,368200,366500,362100,358400,357200,358100,358200,353400,345300,339200,336200,334400,333400,332300,331700,330600,327500,325000,323000,319800,315800,313100,311700,310900,310100,312800,320300,329300,332300,326900,320900,323400,332800,341500,348200,355000,362700,364700,360900,360900,367300,377200,389400,403700,420300,435000,438400,436600,441400,451800,460600,469200,483000,497200,507200,513900,521100,527900,535000,543600,550300,552800,563800,580800
"South Beach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291200,286000,283300,284300,286800,285300,284300,284900,288000,290100,288300,289200,297400,305700,309300,315800,323700,330000,333600,335400,336400,343100,351100,354100,367300,391100,395200,371500,346200,329800,320600,317900,318000,317900,317900,319700,322600,327200,335200,345900,354800,359500,362800,367200,370400,370200,368800,368300,366300,362700,362000,364900,367600,368300,369900,371400,369700,365400,366000,370100,370300,367500,367200,370000,373700,377000,378100,378500,377700,375600,374000,374600,373200,369900,367600,367400,366300,364500,361600,358600,358100,360900,362300,360700,355500,351400,350100,350200,351000,355700,360500,361500,363100,366400,362300,349000,337400,331500,329900,328300,321600,311400,303200,296200,290800,287200,284800,283000,281800,280800,280300,280000,278800,278000,279300,281400,281400,276900,271500,272200,276600,277300,279000,285600,293200,299200,304600,308400,311500,315800,325400,339200,350500,357000,361600,366500,373500,383200,389500,401600,418800,440800,463500,474200,475200,474700,466900,458200,460700,461800,463600,464900,463600,461100,460900,464000,471500,485100,499300
"Ingleside Heights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238900,225100,220600,225900,232600,237200,243900,247700,245300,242300,244200,248200,257000,265600,274300,282000,288900,289500,288500,283600,279500,281000,286000,285700,285600,291900,303400,312500,314700,314900,316300,320700,327900,342300,349100,350100,359800,376600,379800,377000,375200,371400,372400,378000,382000,386100,396300,409100,415300,412000,408400,408400,410200,416200,416100,414800,420200,426100,428400,433600,440200,443100,441400,433800,425900,419200,416000,418800,412700,393200,379100,377300,376800,379900,386000,396400,409000,420500,427700,432300,439800,451500,459800,462300,464400,467900,473500,476200,476700,484800,499300,511200,521900,533800,541600,546000,548900,547900,548500,554000,561300,567700,570100,566200,557400,545300,532900,523100,517300,513800,509400,502600,500500,501600,504200,503900,506100,511800,519600,523500,522700,519600,517100,510800,502700,497700,494700,490400,487800,486000,481700,473000,465000,461000,457000,461100,458900,438900,412300,394900,379300,366600,357200,352100,349200,346900,346000,345800,346700,349300,351400,352600,352000,349000,345800,343200,339800,337100,333000,325300,319100,317400,316100,313300,311100,309700,308200,306400,304300,300800,294900,288600,284800,283400,281900,277500,274100,274700,278000,281500,284700,288200,291700,293700,295500,299200,304300,308400,313800,321700,333000,344600,357000,367800,377900,386900,394300,398900,406400,420000,438500,456800,470000,477200,481300,485100,492500,501500,509500,519100,534800,556900,578000
"Diamond Heights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343300,360700,375300,386300,400200,415400,428000,437900,451200,469400,486400,498500,510200,521500,531600,537800,531500,520700,512800,504900,495100,492200,489800,484000,475100,472400,474900,485700,506100,524000,532600,542600,551800,543000,519900,501900,491600,483200,476800,472800,467900,465900,469400,470300,467000,465500,470700,485300,502100,515500,516100,503800,491800,493500,495000,495300,496000,495000,487100,478700,471300,462900,458500,466300,480100,488100,490200,490700,495400,506900,518500,518900,518700,524200,527600,521400,511400,500000,495100,492400,489500,485100,483700,484800,481900,472300,466800,473400,475100,462200,443900,433500,422000,411000,403200,394400,381400,372500,367600,357800,347300,342500,342600,340600,335600,328700,324500,322200,319900,314500,310800,308200,307800,307500,304300,298300,294900,292400,291500,296200,303000,306700,306200,306400,310800,317000,321800,327400,336600,344900,346500,345400,347200,348100,344000,339400,337200,340500,346100,349900,352000,358000,364400,368200,369400,378100,398100,413500,416700,417400,421400,425400,430000,433400,440700,453300,474600,495300,503500,507600,520100,536400,550000,561300,569700
