"","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01"
"Eureka Valley - Dolores Heights - Castro",1175000,1129000,1195000,949000,895000,899000,899000,899000,899000,949000,1049000,949000,949000,949000,949000,949000,949000,949000,949000,949000,949000,999000,995000,975000,975000,999000,949000,949000,949000,949000,959000,949000,895000,895000,995000,995000,1050000,1149000,1095000,949000,985000,1248000,1480000,1195000,1100000,995000,1049000,1295000,1295000,1299000,1295000,995000,1098000,1095000,1250000,1250000,1199000,1249000,1379000,1399000,1395000,1399000,1795000,799000,799000,1000000,1459000,1399000,1459000,1595000,1195000,1425000,1400000,1185000,NA,1195000,1149000
"Western Addition",645000,625000,599888,510000,545000,565000,545000,545000,530000,469000,445000,530000,530000,530000,530000,530000,575000,599888,610000,629000,610000,535000,550000,550000,550000,550000,550000,475000,499000,499000,459000,504546,504546,400000,499000,559000,550000,454250,400000,NA,NA,NA,599000,599925,599000,NA,NA,NA,NA,NA,NA,NA,NA,NA,715000,650000,639000,649000,679000,679000,NA,560000,NA,NA,NA,NA,599000,599000,NA,385000,385000,NA,654626,654626,654626,NA,770000
"Potrero Hill",839000,799000,799000,795000,799000,839000,849000,878000,878000,878000,889000,899000,859000,799000,799000,800000,799000,750000,675000,679000,692000,692000,679000,719999,719999,699999,649000,649000,665800,699000,699000,699000,699999,714900,719000,699000,649000,649000,650000,669000,629900,650000,649000,629900,540000,625000,630000,649000,749000,650000,815000,849000,829000,829000,699000,699000,795000,799000,749000,759000,849000,849000,849000,898800,879000,975000,1015000,995000,950000,899000,899000,1050000,999000,849000,NA,995000,1149000
"Outer Mission",589000,569000,549000,575000,549000,549000,530000,560853,549000,530000,529000,549000,560853,538000,499900,549000,549000,549000,549000,539000,518109,539000,550000,567054,554900,549000,549000,549000,549000,549000,499500,499000,499000,499000,499000,495000,495000,495000,455000,455000,479900,479900,NA,488000,520000,520000,485000,489000,529000,NA,NA,NA,NA,NA,NA,NA,NA,NA,608898,NA,NA,NA,NA,NA,NA,NA,NA,625000,NA,699000,699000,699500,699500,739000,NA,NA,NA
"North Panhandle",799000,799000,799000,749000,749000,739000,749000,719000,699000,725000,769000,724000,799000,799000,799000,759000,759000,799000,799000,799000,799000,849000,849000,799000,699000,699000,700000,769995,700000,699000,649000,599000,625000,725000,675000,699000,649000,649000,649000,625000,625000,649000,649000,839000,749000,789000,749000,789000,789000,912000,NA,NA,749000,829000,650000,575000,699000,775000,669000,749000,749000,790000,699000,795000,828000,NA,949000,948000,889000,948000,948000,825000,988000,1049000,NA,NA,NA
"Haight-Ashbury",799000,899000,750000,769000,750000,750000,863000,875000,863000,854000,835000,829000,829000,799000,799000,799000,799000,929000,929000,949000,949000,929000,825000,795000,899900,969000,929000,849000,869000,829000,769000,699000,615000,649000,849000,849000,849000,796000,765000,765000,765000,749000,749000,749000,849000,969000,999000,875000,875000,799000,866250,NA,975000,995000,1050000,1050000,899000,NA,949000,NA,1300000,NA,NA,1149000,895000,699000,1198000,999000,875000,995000,NA,1195000,1095000,NA,NA,NA,NA
"Mission Terrace",699000,699000,648000,599000,560637,549000,549000,577150,599000,579000,560637,529000,534900,530541,578000,530541,549000,549000,561627,559000,561627,578000,548000,549000,575000,595000,575000,588000,575000,575000,575000,575000,579000,550888,550000,549000,549000,539000,539950,530000,510900,525000,490000,449900,449900,549950,498000,524900,582000,599000,NA,NA,NA,NA,NA,635250,599000,635250,NA,NA,NA,NA,NA,NA,NA,670000,699000,NA,NA,NA,NA,NA,798000,799000,NA,NA,NA
"Ingleside",579000,598000,519900,NA,499000,499000,499000,539000,479000,498000,560142,560000,499000,560000,525000,515000,490000,515000,599000,600000,665000,665000,NA,NA,NA,NA,NA,NA,NA,458000,450000,NA,430000,430000,449000,479000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,659000,NA,NA,NA,NA,NA,NA,649000,NA,649000,599000,NA,NA,NA,NA,NA
"Silver Terrace",475900,449000,458000,458000,475000,499000,499000,499000,475000,475000,480000,446900,399830,465000,446000,397900,446000,425000,489000,399000,396000,369900,399000,479000,350000,370900,479000,469000,449900,384900,384500,419500,429000,399000,456646,399000,399000,390000,NA,375000,459000,NA,NA,NA,NA,385000,385000,445000,415000,475000,NA,NA,NA,NA,NA,499000,575000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650000,NA,NA,NA,NA,NA,NA
"Cow Hollow",1600000,1750000,1749000,1749000,1995000,1795000,1749000,1700000,1795000,1795000,1050000,1050000,999950,950000,1249000,1249000,1200000,1149000,1495000,1149000,1200000,1399000,1200000,1195000,999000,969000,1150000,1299000,1150000,1200000,1195000,1195000,1099000,825000,1099000,799000,899000,1099000,1099000,989000,1399000,1495000,1615000,1659000,1549000,995000,995000,1299000,1395000,1495000,1350000,NA,NA,1125000,1195000,998000,1150000,995000,NA,1749000,990000,1298000,NA,NA,1049000,1195000,1595000,1500000,1549000,2299000,NA,2299000,2449000,1795000,2495000,1695000,1385000
"Glen Park",875000,995000,995000,949000,899000,949000,899000,949000,898000,898000,819000,829000,839000,849000,849000,800000,849000,849000,899000,899000,1025000,959000,1125000,945000,945000,945000,879000,819000,899000,899000,959000,959000,959000,1080000,989000,995000,899000,859000,949000,859000,949000,950000,749000,769000,789000,799000,879000,879000,799000,799000,799000,NA,799000,949000,1000000,1025000,NA,949000,899000,995000,1195000,1098000,950000,1098000,NA,859000,1195000,1025000,899000,899000,1025000,1195000,1389000,1389000,1389000,1198746,1399000
"Telegraph Hill",999000,795000,759000,729000,759000,799000,799000,799000,1095000,1560000,1795000,1595000,1050000,1299000,999000,901940,901940,899000,1095000,899000,1095000,1495000,995000,860000,885000,885000,898000,750000,699000,699000,649000,699000,699000,699000,645000,659000,659000,589000,910000,1075000,1075000,949000,799000,NA,849000,595000,NA,999000,849000,NA,NA,NA,NA,NA,NA,1075000,889000,889000,NA,NA,NA,NA,NA,NA,NA,1398000,1398000,2998000,2998000,1590000,1590000,689000,1299000,NA,NA,NA,1895000
"Lake",1295000,1195000,999000,893000,899000,1099900,999000,999000,999000,999000,899000,899000,1239000,1239000,1049000,1239000,1150000,1200000,1150000,1400000,1400000,1200000,1118000,1025000,995000,1069000,1140000,1200000,1140000,1200000,1075000,1199000,1199000,1499000,879000,1357575,1357575,999000,825000,799000,825000,1080000,NA,879000,970000,1189000,1195000,995000,1039000,1188000,NA,NA,989000,989000,989000,1549000,1549000,NA,1248000,1175000,1175000,915000,NA,NA,NA,NA,NA,NA,NA,NA,NA,1395000,1495000,NA,NA,NA,NA
"Lone Mountain",NA,NA,NA,NA,NA,899000,NA,NA,NA,NA,NA,799000,974500,924500,997500,997500,995000,997500,1025000,997500,997500,995000,719000,779000,779000,849000,950000,995000,950000,997500,997500,899000,899000,899000,NA,NA,965000,NA,NA,NA,NA,NA,985000,NA,NA,NA,NA,NA,1095000,1099000,NA,NA,NA,999000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oceanview",499000,509900,498000,459000,449000,449000,459000,509900,499000,499000,538000,538000,538000,412900,412900,429000,429000,453321,475000,499000,475000,499500,499000,499000,489000,499000,499000,489000,469000,460500,448888,449800,449800,459000,479000,459900,465000,450000,468000,400000,420000,400000,435000,384900,400000,420000,398000,450000,459900,NA,NA,NA,NA,499900,NA,NA,NA,NA,540000,NA,499000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Beach",829000,799000,779000,NA,NA,NA,NA,NA,NA,829000,NA,829000,799000,829000,799000,799000,750000,799000,775000,775000,775000,750000,774000,774000,774000,879000,774000,736800,734900,725000,689000,699000,629000,679000,679000,559900,559500,559900,NA,NA,NA,NA,NA,NA,NA,575000,629000,639000,749000,669000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ingleside Heights",468000,427500,389500,399000,389500,399000,472995,472995,434900,399000,472995,482130,426950,449000,449000,399000,399000,399000,460900,449900,459999,331000,388000,399000,399000,388000,369000,369000,388000,399000,325686,369000,320000,325686,448000,365900,365900,410000,390000,285000,285000,275000,275000,275000,284900,410000,389900,NA,NA,NA,NA,NA,NA,NA,NA,NA,369000,549000,NA,NA,NA,NA,NA,NA,449000,NA,NA,NA,NA,NA,510000,510000,529000,549950,549000,NA,NA
"Chinatown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495000,515000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alamo Square",NA,NA,859000,NA,799000,799000,829000,889000,949000,949000,859000,849000,799000,849000,799000,649500,649500,799000,799000,837000,839000,835000,659000,750000,750000,798000,799000,839000,599000,599000,569000,569000,569000,NA,NA,NA,NA,499000,569000,625000,625000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunnyside",705000,695000,789000,729500,NA,789000,729500,799000,675000,719000,779000,779000,779000,820000,820000,825000,759000,747000,729000,699000,599000,639000,675000,675000,649000,639000,599000,649950,675950,649950,665000,675000,649000,675950,699000,599000,599000,569900,559900,595000,595000,659000,499000,599000,NA,NA,NA,NA,469900,NA,NA,NA,NA,NA,NA,NA,729000,NA,NA,749000,690000,699000,NA,NA,NA,NA,NA,NA,NA,NA,NA,799000,799000,NA,NA,NA,NA
