"","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01"
"Corona Heights",999000,899000,1049000,899000,1049000,1050000,1149000,1250000,1149000,999000,999000,998000,895000,895000,749000,749000,925000,975000,895000,839000,825000,850000,849000,749000,799000,749000,749000,799000,849000,998000,998000,1149000,1077777,1000100,1000100,1150000,1100000,1077777,1129000,NA,NA,NA,NA,NA,NA,NA,NA,949000,998000,NA,NA,NA,NA,NA,NA,1075000,1050000,NA,NA,NA,929000,1149000,NA,NA,NA,NA,NA,1195000,1195000,NA,1195000,NA,1195000,NA,NA,NA,NA
"Midtown Terrace",NA,NA,NA,NA,NA,NA,805000,788000,799000,NA,NA,NA,NA,NA,NA,795000,795000,799000,799000,795000,729000,639000,729000,738000,738000,748000,729000,675000,729000,729000,759000,NA,709000,NA,719000,699000,699000,699000,699000,699000,699000,698000,NA,NA,NA,NA,NA,NA,699000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Forest Knolls",NA,NA,NA,NA,NA,NA,NA,775000,785000,775000,759000,759000,699000,759000,NA,NA,NA,NA,NA,NA,855000,799000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Twin Peaks",899000,859000,859000,839000,849000,783000,839000,729000,783000,925000,859000,925000,899000,859000,899000,849000,849000,849000,725000,709000,675000,699000,675000,699000,849000,815000,849000,NA,NA,699000,649950,649950,649950,699000,725000,859000,849000,675000,549000,NA,NA,588600,588600,799000,749000,899000,829000,849000,829000,800000,NA,NA,NA,NA,899000,859500,799000,699999,789000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999000,NA,NA,NA,NA
"Merced Heights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duboce Triangle",789000,789000,799000,799000,949000,NA,NA,NA,799000,795000,795000,NA,769000,779000,779000,779000,769000,795000,799000,769000,799000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Portal",1100000,NA,NA,NA,NA,NA,948000,895000,890000,890000,1088000,1150000,1195000,1195000,1195000,1149000,1149000,1149000,998000,998000,1099999,998000,NA,849000,829000,818000,818000,849000,849000,849000,950000,975000,990000,990000,889000,849990,849990,875000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Forest Hill",NA,NA,1295000,1129000,1199000,1129000,NA,1299000,1395000,NA,NA,NA,1350000,1450000,NA,NA,NA,NA,NA,NA,NA,1395000,NA,NA,1298000,1295000,NA,NA,NA,NA,NA,1250000,1349000,1199000,1195000,NA,925000,NA,NA,NA,NA,NA,1395000,NA,NA,NA,NA,NA,1385000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buena Vista Park",1250000,NA,NA,NA,699000,699000,839000,839000,875000,795000,749000,795000,799000,799000,749000,699000,NA,799000,799000,799000,825000,1139000,1139000,1795000,1725000,1695000,1695000,1199000,1139000,1150000,1150000,1150000,1395000,749000,615000,999000,999000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2495000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,695000
"Golden Gate Heights",1189000,NA,1175000,1100000,1195000,1195000,1149000,1148000,1099000,1099000,1095000,998000,1095000,1149000,1150000,1150000,1149000,1099000,NA,849000,850000,NA,NA,NA,935000,NA,NA,NA,NA,935000,NA,998000,880000,998000,880000,870000,899000,929988,NA,929988,1049000,NA,NA,NA,NA,NA,NA,NA,NA,865000,NA,NA,NA,NA,995000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Waterfront",510000,799000,799000,639000,749000,619000,636000,639000,649000,729000,719000,799000,799000,799000,749000,799000,749000,749000,649000,719000,719000,715000,675000,695000,640000,599000,649000,649000,629000,629000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diamond Heights",899000,950000,995000,649000,699000,699000,659900,1088000,624000,624000,399000,469000,540000,399000,449000,459000,439000,399000,367864,429000,429000,429000,400000,400000,399000,365000,359000,369000,339000,339000,340000,355000,375000,399000,379000,369000,399000,399000,400000,355000,355000,569000,550000,550000,569000,414900,NA,NA,NA,NA,NA,NA,NA,419000,399000,NA,575000,395000,439000,NA,629000,NA,NA,NA,NA,NA,599000,NA,NA,NA,515000,549000,649000,NA,NA,NA,NA
"Anza Vista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,825000,825000,765000,750000,750000,750000,649000,699000,699000,699000,595000,699000,699000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639000,NA,NA,NA,589000,NA,NA,NA,NA,NA,NA,NA,NA,NA,679000,679000,629000,629000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Westwood Highlands",1095000,1395000,1095000,NA,1075000,979000,1059000,849000,879000,879000,849000,849000,939000,849000,939000,939000,860000,849000,969000,969000,929000,800000,NA,NA,NA,749000,969000,NA,988000,988000,NA,NA,NA,NA,NA,NA,NA,NA,819900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ingleside Terrace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1195000,1198000,1195000,1195000,1175000,1149000,1140000,1149000,1098000,1098000,1098000,899000,879000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Westwood Park",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mount Davidson Manor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,919000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Francis Wood",1689000,1875000,1875000,NA,1949000,NA,NA,2250000,2175000,2195000,2095000,1890000,1875000,1875000,NA,NA,NA,1875000,1950000,1950000,2375000,2195000,1890000,1749000,1749000,NA,NA,NA,NA,NA,NA,1925000,NA,NA,NA,2050000,1995000,1595000,1799000,NA,NA,2185000,1799000,1799000,1895000,1845000,NA,1998000,1845000,1998000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central Waterfront - Dogpatch",782000,840539,781000,759000,782000,781000,711360,658000,650000,650000,650000,695000,649000,649900,675000,675000,649000,649000,629000,599999,685000,685000,699000,685000,649000,649000,NA,NA,689000,689000,NA,NA,NA,NA,NA,519000,519000,519000,599900,599900,625000,775000,NA,NA,NA,NA,540000,540000,589000,595000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,799000,899000,789000,789000,NA,799000,899000,NA,NA,NA,NA
"Little Hollywood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650000,650000,NA,NA,NA,NA,NA,650000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lakeside",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,859000,878000,878000,NA,NA,NA,NA,NA,845000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sea Cliff",4995000,4995000,NA,NA,3000000,2995000,2995000,4580000,2995000,2995000,4580000,2325000,2395000,2395000,NA,2395000,NA,3250000,3250000,2490000,3250000,2998000,2998000,2490000,1795000,2000000,2000000,1595000,1599000,1599000,1995000,1995000,2490000,NA,NA,2490000,2395000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2880000,NA,NA,NA,NA,NA,NA,2995000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monterey Heights",NA,NA,NA,NA,1399000,1350000,NA,1350000,1350000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clarendon Heights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2089000,2495000,2750000,2899000,2750000,2280000,2750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4250000,2600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
