"","1996-04-01","1996-05-01","1996-06-01","1996-07-01","1996-08-01","1996-09-01","1996-10-01","1996-11-01","1996-12-01","1997-01-01","1997-02-01","1997-03-01","1997-04-01","1997-05-01","1997-06-01","1997-07-01","1997-08-01","1997-09-01","1997-10-01","1997-11-01","1997-12-01","1998-01-01","1998-02-01","1998-03-01","1998-04-01","1998-05-01","1998-06-01","1998-07-01","1998-08-01","1998-09-01","1998-10-01","1998-11-01","1998-12-01","1999-01-01","1999-02-01","1999-03-01","1999-04-01","1999-05-01","1999-06-01","1999-07-01","1999-08-01","1999-09-01","1999-10-01","1999-11-01","1999-12-01","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Mission",174200,176000,178100,179100,178500,178900,180100,180300,179700,182800,188600,192100,192400,194400,199100,204000,207200,208600,209600,210600,212600,212800,212300,215700,221300,223800,223900,225000,227700,232300,238900,245700,250300,254200,258100,260800,263700,267600,271600,277700,286800,294100,297900,301900,308200,316700,325500,331700,337800,345600,352500,357700,364800,374000,384300,394000,400200,401100,401100,402500,402400,401900,404200,407100,405200,397800,389500,388100,392600,397200,397600,396800,399500,408400,418600,426800,431100,432300,431900,431100,429400,429100,430300,431400,430700,428800,427400,426800,429800,437200,445300,451400,459300,468100,477500,488500,498500,501600,501000,501500,505500,508800,510900,512500,515700,523200,534400,543200,548300,553400,557600,561000,562800,568800,580900,591700,597400,597700,594100,592300,596500,599600,599800,599200,596500,592300,586300,579200,573000,572100,573200,574000,573800,574500,578700,583600,585600,585300,584100,580000,573900,570800,569700,564300,556900,553400,550700,547000,545600,544100,542500,545900,545700,535800,525600,520600,516000,511400,507600,505200,503800,503100,503600,505200,507400,510300,511500,511500,512600,513800,510800,504400,500900,500400,501200,501600,502500,501900,498700,493900,492100,493500,494800,494000,493100,493000,493500,493900,496300,500300,507800,517400,523000,523300,527000,537000,550500,564400,570500,571600,576000,585700,593300,598700,603700,611100,621800,635200,645200,649700,653400,656500,659300,662400,670000,681700,695400,707400,719300,728200,731700,733300,738700,747100,758100,770000,780000,789500,799000
"Bernal Heights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211100,212700,211000,208600,204500,203500,205500,207700,209800,213100,216500,221100,226200,229700,233300,237300,242600,248100,251800,253400,258300,263800,268600,274100,278300,279100,278800,279100,281700,289100,299300,309000,316100,323000,328200,332000,333500,335300,340300,349900,355400,357500,361600,369000,375800,382100,385300,388400,398700,412300,411600,402300,400700,406400,408800,405500,400100,399200,403000,408200,410400,411700,418300,434900,455800,471100,475000,477100,481000,485300,489600,493500,496100,500100,499700,493900,485400,477900,474200,473700,474300,477800,484100,491100,498000,505200,520100,537700,547800,552400,559400,568800,583300,597600,606500,612900,626200,638900,647400,652900,655900,657300,667700,685500,701300,709300,714300,718200,716700,712500,710700,706200,699700,694400,690100,681800,669600,653900,642600,639700,642400,646200,651100,656400,662700,671400,679500,685300,688400,691000,695900,701500,701600,696900,690800,684000,677400,668100,651000,634300,627700,633100,633500,618300,596900,585100,577400,572800,577400,587000,593600,597000,597300,596000,595700,599500,606800,610700,608700,608400,607500,608200,612900,619600,623200,619800,613900,612300,613500,612000,606400,598500,590900,585000,582500,580200,579300,582800,587800,590100,590800,591800,596800,604400,613800,623800,632700,641100,646600,647400,651600,661500,673800,682700,699600,724400,744500,756200,769300,779800,788700,797700,810600,827400,845600,856700,864300,870600,880100,885800,887700,889700,895300,901500,907400,915600,925700,945200,966000
"Bayview",168000,162500,159600,159000,157800,156100,154400,154000,153900,154800,156700,162000,167700,171700,173400,175300,173800,169000,168000,171800,174800,173500,172000,171200,171800,172800,172400,170900,170400,170800,171200,172200,174500,177100,180100,185400,192700,198800,201300,202300,204400,207800,210500,215100,221000,226200,229500,232900,233900,236900,243100,245900,247800,257800,268200,273100,276100,275700,271700,269300,269800,271800,275600,278400,279900,283200,287700,291600,297000,302100,304400,306700,309900,307300,307300,317000,328700,333500,337000,339100,341000,344700,349500,346300,339700,338200,340800,344900,355100,364900,369800,374500,380600,387300,389300,393700,407700,426000,436200,442600,448300,446600,442300,439900,441400,445300,458600,475000,479100,471400,467800,466500,463200,463300,466400,469500,469800,469200,477600,495400,516800,535600,543900,538700,528000,519600,514100,504900,493000,481800,468400,454900,445700,441600,442800,446800,447000,441600,433500,425700,418600,413200,409300,405200,401000,398200,393700,387800,382200,383500,393400,402500,405200,406200,405600,400000,388500,372700,359000,352000,351000,351700,349500,348500,351300,355100,357200,357700,357600,357600,356400,353100,350700,350000,350700,354300,358900,362800,361000,353400,349300,349500,349300,351300,354500,352100,346300,340400,335400,328000,316700,305200,297400,294100,294800,296100,298800,303800,307300,311000,316900,322900,328100,333700,338600,351600,365300,373500,379900,386000,390300,397600,403500,408000,414300,427200,447200,464800,479800,494200,501000,500100,502300,504400,505300,511300,530500,558400,583500
"Downtown",184400,186200,186000,183500,180500,177900,176400,174200,175000,181100,185100,183600,182100,183800,185100,185900,185400,185300,185600,187000,189200,192100,193600,194700,197900,203000,206500,209500,213100,216100,219100,223300,227000,229100,230800,231900,231900,233000,236900,244500,253700,261700,271200,282900,291000,299800,313700,327200,335800,343400,348200,351200,355400,361900,367100,371700,374300,371800,370500,375500,381700,380500,379000,383000,390200,393600,390900,379900,369400,362000,362200,367900,372700,371100,372600,373500,370400,367300,368200,371500,374400,377100,380100,380100,375900,375900,380600,384300,389200,396700,402200,410500,423800,435000,436500,433700,433900,439100,444400,447400,447800,443300,439200,438200,441500,449200,459100,467000,474500,482600,486800,489000,493100,500300,505800,508100,508100,508200,506600,507700,511200,512400,508100,504000,504300,511000,521800,529200,529600,524300,520400,524900,533700,538400,543500,552600,554700,548400,540600,536000,530100,523900,519200,513400,509100,507400,502700,495700,492000,490200,491500,494300,496500,499300,501800,499700,491200,481000,474200,469800,463900,457800,450900,444600,442100,443000,439300,431400,425300,422700,420100,416300,412500,409000,405800,405100,406500,409500,414300,418600,417800,418700,426200,434800,439300,442500,446000,449500,450700,448700,447200,448500,455000,462700,467400,469800,479900,494600,507300,515500,525900,533200,534300,532800,532600,538200,548800,558200,565300,573600,578600,578500,580300,586700,595000,604000,616600,629700,638600,642700,646000,646500,648300,649100,644700,643900,655400,672300,686800
"South of Market",192300,194800,196300,197000,196500,195800,197700,201000,204700,210300,217500,224900,229300,231800,234800,240500,244500,244200,243500,247200,252000,255400,259900,263800,264800,266500,268900,268500,271000,276900,283100,287700,293600,295100,293200,291200,291300,292600,296600,305400,314400,323200,333400,344700,354100,367000,381500,391400,401100,414600,427600,427900,426300,433900,445200,448800,450600,447400,443300,445400,451500,452600,451100,451500,454500,458700,458000,449300,436900,429200,426100,425700,425900,431000,441600,454600,459800,453800,446700,446400,445400,446300,449900,450400,448100,448500,449400,455000,468900,483600,490400,494700,499200,503200,506400,511600,516600,515100,508800,503500,501500,497600,496300,498500,507700,521500,534500,543600,550100,552700,551600,550700,550500,554700,561600,569700,578900,584900,585900,586500,589800,596600,603100,605000,601600,598700,598200,598400,594800,590400,589400,594500,601200,606500,612700,619900,624000,625700,626100,624700,620900,616100,610700,605300,601400,599300,595000,585400,575700,568200,564600,563100,559400,551400,545100,540200,534200,526600,519200,514300,512200,511400,511700,513400,516600,520400,521700,517900,510200,503100,499600,497600,494900,492900,491500,491100,491700,494400,493900,489100,484700,484900,486900,489500,492300,493300,489300,484400,484000,485500,487400,490800,493900,496000,503000,513800,526000,537800,548500,556400,562900,570200,581000,591900,606200,625300,644900,660200,672600,682400,692200,698800,703800,710400,717700,727100,739800,749400,752900,754900,755100,755600,757800,761900,766900,772000,776200,784400,792900
"Pacific Heights",245500,238300,231300,226000,222700,219100,219000,220900,222700,223700,228200,236300,243800,250900,257400,261300,263300,266800,268500,272500,279800,286900,294300,305100,317100,324300,328200,333600,340600,343400,345000,348800,351300,347600,341400,337400,341400,350600,358400,364000,372500,384700,397400,405700,414700,425500,433600,441400,453900,468100,483800,498300,509300,517200,519800,517300,519600,518800,513900,518300,530600,534000,535000,539400,551600,566400,581500,592500,596400,598200,605500,604200,593500,591300,601500,607700,601900,597700,599900,596400,592600,597200,602100,599900,602800,610800,616100,624600,642500,654600,657600,674400,695300,711600,723900,739400,733900,710000,684000,667100,648700,636900,637400,638800,637900,638400,645900,655200,662000,667600,673800,675700,672700,669100,665300,662800,661900,663700,661500,655800,656800,667300,679600,688000,694300,696200,692000,690300,691800,689600,689200,699300,709200,714500,716400,721000,726300,730600,730000,726900,722700,720600,716600,705800,698400,697000,695500,691100,690600,694300,701900,706000,701400,690300,679500,673300,669800,666400,665100,663700,658600,654100,654000,652800,651700,653600,655300,657000,659400,658300,652700,648700,648400,649600,647800,644000,641200,639800,638900,636700,634100,632300,630000,628200,627500,624500,621400,621300,623900,626200,627500,627100,628600,633900,645800,658600,672700,686700,699900,707600,716500,727900,739000,747200,757400,766900,772800,778400,787200,795400,798100,802100,812300,822700,833700,842300,849500,861800,874700,879100,879000,874800,872400,878700,888200,898100,906800,922500,941500
"Nob Hill",243900,235700,229600,224500,221600,218600,221700,227800,233700,237800,241100,245300,249300,251900,253600,256600,258300,257300,255600,257900,264800,271300,274000,275300,282300,293600,300600,300800,302700,305100,302900,298700,298000,297100,295900,297800,303800,310400,314700,320000,328100,338000,347000,355600,366700,382500,396800,403700,405700,409300,420400,437200,452600,458400,457600,455100,450200,441800,441000,450700,462400,472400,479700,482100,479400,485100,489000,489500,486700,481900,472600,473800,476500,471600,471400,480200,484700,492200,507400,517800,525000,533600,540100,541200,544000,549300,551900,551700,557700,561500,563300,570300,576900,590600,605800,601000,584200,575700,573500,570300,566400,563000,563900,566500,571600,576200,581100,587300,594900,603400,610800,616700,619500,619900,622200,625300,624800,621100,621800,624900,628300,629400,626500,620800,620200,620600,622800,628400,636100,640400,643300,655400,670200,676800,678700,685700,686800,687600,678700,661200,643400,640400,637900,628800,618700,615200,612700,610400,614500,620900,626600,633500,635400,621600,607100,602200,600200,600300,604600,608600,610400,608500,606600,605700,609200,613800,618400,621100,624000,620900,613500,602500,592500,583400,575200,570800,571400,571600,566600,559200,555400,555300,554600,554900,556600,557500,557700,558400,560300,563200,566400,567500,572000,581300,591900,602100,615300,629400,645400,659500,670600,679200,687600,692900,695700,699900,711200,722600,725800,724200,724400,727600,736800,748100,758900,773000,795800,817200,824600,819800,814600,818700,826400,830800,830600,836200,851800,872100,886700
"Noe Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299700,303700,309600,314700,315800,318500,321300,322100,321200,322900,324800,325900,326000,326600,328000,331300,336800,346000,360200,375000,385300,394700,412200,435400,458500,478400,493500,510700,524000,521500,516800,525200,529000,528700,530200,530900,527100,519500,502600,487700,484600,489400,494700,501700,511900,510700,500900,496500,504800,519000,540100,562100,581500,599400,620400,636200,647100,663200,674200,677300,674500,672300,674500,685600,690400,690300,691200,689500,690400,701800,727600,756100,779900,802400,826100,831000,815600,795900,775600,759400,749600,741200,731500,728800,731400,733700,730500,732000,746600,764300,768000,773700,793400,812900,819900,816100,805800,796100,789600,774900,761200,756400,757500,755400,745800,729900,719100,714600,716100,722700,726900,730600,736200,741400,744600,746700,739500,730800,721700,714700,711300,707100,698400,695800,693500,685200,679600,671700,671200,682400,689000,679800,663700,642300,622600,605500,592800,588200,587300,588600,590700,589100,587700,593600,605000,615200,621300,628100,634200,639700,646300,653800,655500,657300,658500,659300,655600,649800,642200,638900,640400,638500,632700,626000,619500,613600,615000,619500,625100,631900,642700,651100,656900,666400,680600,691300,697400,702400,708500,712300,713800,716500,727200,740300,755800,770400,782900,792500,799900,800900,808300,821100,828700,842700,874300,903100,916800,919400,920700,927100,940100,950900,956900,964300,977600,995800,1011300
"Russian Hill",270800,275100,279300,282300,286700,290800,291500,290900,293200,298100,303900,311200,319000,325200,330300,332900,333700,327800,324800,331900,341800,344000,345800,350700,355400,359100,363500,367900,371800,379300,388700,393300,391300,389800,393400,397200,397600,396400,395200,397200,401900,406300,408900,413500,423200,434300,441700,449900,462700,478900,490300,502700,519900,534400,540000,546000,553300,555400,554700,559000,561200,557000,558800,559800,547900,540400,539700,538000,537000,538500,532100,521900,512400,504300,502000,508200,512900,509600,511800,520100,529600,544700,565500,574900,580900,596500,609000,608600,610000,616700,619200,614000,605800,605700,610200,613900,617800,620300,626300,633300,637200,645800,662500,673000,680400,686900,694600,708100,723000,731000,729800,730400,736200,741200,741900,746000,750200,748300,742600,733000,722700,713400,705200,696600,694400,693900,693600,698000,704900,708900,714300,726000,739600,751100,758900,762700,761000,756600,747500,735900,727200,720300,711300,703400,697500,692100,685000,686000,699400,718000,732500,742900,737300,721200,712500,715200,717500,720200,726800,732100,727700,717800,716000,719900,727500,738400,741800,733300,722400,715800,717100,722700,723700,717600,706600,695600,689600,685200,678700,672100,669300,669600,672100,674800,677300,677900,680300,689000,699700,704500,711100,722600,735100,745900,749800,748300,755400,765900,762800,749400,737800,734900,738200,739300,741800,753300,768300,775800,785800,807600,828900,835500,852100,886000,919400,935700,948700,956000,953300,937000,910400,884100,876000,884400,892900,899200,901900,912400,926500
"Hayes Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269600,266300,265600,268300,268100,268000,274900,286000,296000,304800,311000,316900,320300,319700,319600,321000,325800,331900,336500,345200,353800,353200,356000,369400,378000,380600,386400,399100,412700,422800,431400,438300,439500,439600,441900,441100,444800,448800,447700,443100,445200,458500,463200,451500,441700,432800,415300,404500,399900,395700,394500,396800,402300,409100,414900,417900,418600,421500,425100,426300,428900,434400,434700,435300,440600,439600,434900,434800,440900,449200,461500,472000,481800,488900,494400,497300,494600,492900,496900,502500,508800,519500,529300,536500,542800,552200,562200,569400,570800,567900,566900,574400,585000,593600,600300,605600,608400,607500,608100,610500,608600,602400,600700,600900,598900,589800,581700,580200,583400,586200,590400,592700,591800,593000,596200,599500,597200,591500,583600,579700,576200,571300,566700,563900,564800,574700,585900,584000,578800,581200,583700,578400,570100,560800,549000,541100,540300,538400,532000,531000,534400,539200,541500,541100,538800,538300,536300,534200,531100,525900,518300,511900,509800,513100,519900,524700,524700,522500,520100,519500,521500,522900,521800,516500,507400,501100,500600,500300,501400,505800,514700,521200,528200,534400,539300,541000,544200,548800,556300,562900,569800,577000,580800,586100,596000,611600,628600,642900,652900,660800,666600,675100,687800,699600,719600,742500,751800,744900,743200,762300,786800,788700,779100,783700,794800,809000,823800
