"","1996-04-01","1996-05-01","1996-06-01","1996-07-01","1996-08-01","1996-09-01","1996-10-01","1996-11-01","1996-12-01","1997-01-01","1997-02-01","1997-03-01","1997-04-01","1997-05-01","1997-06-01","1997-07-01","1997-08-01","1997-09-01","1997-10-01","1997-11-01","1997-12-01","1998-01-01","1998-02-01","1998-03-01","1998-04-01","1998-05-01","1998-06-01","1998-07-01","1998-08-01","1998-09-01","1998-10-01","1998-11-01","1998-12-01","1999-01-01","1999-02-01","1999-03-01","1999-04-01","1999-05-01","1999-06-01","1999-07-01","1999-08-01","1999-09-01","1999-10-01","1999-11-01","1999-12-01","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Mission",214400,214600,214100,213100,212800,211900,212100,213700,216400,220600,224800,227500,229700,232900,237100,243200,249700,254900,257700,259800,262900,266600,270000,274000,276700,277500,277300,276900,277800,281000,286600,293500,300100,304600,306800,308600,313700,321200,329400,338000,346800,355700,366200,377600,387900,398000,409300,421400,432400,441300,451900,461900,469200,477300,488800,498300,502500,503000,505300,510700,513700,513000,512200,512600,512000,509600,500400,491000,490500,498000,503800,506500,509800,519100,529700,540000,550500,558000,559900,558200,554100,549300,544400,537000,529900,524900,521900,519800,519100,519600,524100,535500,548400,558600,567800,578100,588700,600400,612400,622300,629900,638000,649200,658400,666200,675800,688000,703100,718700,732200,739200,740600,741200,743900,746500,750500,756800,761100,760600,756500,758300,757800,750600,743800,744000,746500,746400,738100,726600,719800,722200,732600,740400,745100,755000,767200,770900,773000,774400,774600,773500,775300,775000,768000,753800,740900,732100,727300,722800,712500,704100,702500,696300,682600,671900,664100,654900,644000,633100,626400,625500,625500,625900,628500,634000,640400,646400,650800,654800,659600,663100,663000,661400,660300,658500,657300,660600,664000,659500,651300,650000,653000,655900,658800,662800,668800,674600,676900,679100,681500,682000,684700,692200,700500,708300,716700,725700,735700,747600,760000,771400,781900,791400,801100,812400,826800,844200,860600,870000,877500,888700,900800,912000,926000,942800,958200,968900,982300,994900,1002400,1014500,1031000,1042100,1049700,1058100,1066500,1081900,1102900,1121700
"Bernal Heights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237300,239800,238500,236200,234500,234200,233900,235400,239300,244100,248100,252600,256700,259600,262500,266600,270100,273700,277700,281600,285500,290800,296700,302200,304900,304200,302000,303000,307200,314600,323700,334300,345000,355700,365000,373700,382100,390300,398200,405700,413600,422800,431400,436700,440500,443800,446300,452000,462200,471100,472500,467200,460800,458000,458600,459100,456500,454500,456400,458400,458100,459100,466500,483200,502800,515300,520300,523600,526700,529400,531400,533700,535500,536600,535500,532100,526000,519200,516500,517600,521200,527800,538100,547800,556400,565500,577400,590700,603800,613200,618600,626300,640600,651200,654300,659500,673000,689100,703600,716400,726600,736500,747300,757600,765100,771400,776700,778500,774700,770700,769700,765700,759400,757300,758200,755200,745500,734200,726000,722400,725100,731700,736200,740400,747200,753900,759200,765400,770300,770800,769800,773200,774900,767400,753400,738100,723600,712100,702500,692700,687600,687500,684200,675700,668300,663700,658900,653200,648700,647300,649200,649700,650200,654800,663200,668000,668400,667300,669600,674600,678000,676900,673200,671700,671700,670300,670200,672800,670000,660200,651300,648100,649000,650400,652200,654000,654200,653600,654900,656400,658600,664700,673000,680200,687500,697600,709000,718700,731000,747000,762400,776300,789000,799100,810900,830800,855000,875300,889900,903500,914700,919700,923200,928200,935600,948700,971000,994500,1007800,1012100,1017300,1025800,1034800,1043500,1049900,1060300,1082400,1113900,1141200
"Excelsior",182400,182800,183000,184000,184200,183900,184200,185500,187200,189300,191400,193200,194700,196200,198400,201300,204300,207000,209900,213100,216300,219900,223300,226000,228200,230100,231600,233000,234900,236800,238200,238900,239600,241500,244700,246800,247900,250100,252800,256300,260400,265400,272200,280700,289000,297400,304200,309300,314400,320300,324500,328400,332700,335600,335300,335500,336900,336500,336300,338300,338500,334700,333900,336200,339300,343900,349800,352200,353800,357200,361700,365000,370800,382100,395200,406300,415900,422500,426800,430600,432700,434100,436300,439000,442200,446000,449700,453100,456200,460400,466500,476100,488300,499700,509400,520400,531300,539000,542700,544300,547200,553500,563100,572300,579400,586900,596400,605600,613000,618900,625000,632200,640600,649300,653300,651800,651100,653000,653700,653300,656600,662700,666500,667100,667000,665600,664300,662000,663000,669000,675300,678900,683200,687300,689600,689700,684700,673500,661600,652700,644300,636000,628900,621800,612300,602400,592400,584200,577500,572100,567800,567200,562100,548900,535600,526300,516800,507700,501600,498200,496200,494900,495900,499400,503000,506400,508400,508500,507500,507000,506700,505500,502100,499000,496400,491600,487400,484700,481500,477600,474800,472700,471600,469600,468500,468700,468800,469700,472200,474400,474400,473200,474100,477200,478200,478700,483300,492900,502400,509300,514000,519100,526900,536000,545600,556200,570300,586400,599400,605800,608800,610400,612700,617500,623600,628600,631900,633400,635400,638300,643400,648200,651900,655200,659800,666100,675500,688600,700700
"Central Richmond",285800,287600,289400,290400,291500,291400,291400,293400,297100,301600,305900,308200,309100,308900,308600,309900,312300,314700,316000,317300,320200,324800,328900,332800,336900,343500,351600,359000,365700,373300,381000,387500,391600,394300,396800,399500,401000,401000,401700,406900,412100,415800,421700,432000,442700,454200,466800,478900,488900,502300,516700,524300,531800,541600,548100,551200,555700,557600,558500,561000,567200,568800,563600,559900,558600,556900,556600,557600,558600,560500,561400,559200,559900,567300,578600,589400,600000,608500,613600,616400,616400,613100,610000,609100,609100,608800,612900,622200,629700,631400,636000,650200,671000,689100,700700,715200,736600,752300,756300,758300,767700,785700,803700,809700,813100,829900,860500,885500,887800,880900,881300,884500,880600,878700,876300,869100,859100,847200,831000,814200,809400,820100,832500,833200,830400,827500,825600,827000,828300,831500,837400,850700,861600,861700,856700,855900,851700,846300,840800,837700,834600,830800,823900,813100,801800,795100,785400,774300,771100,772900,775200,775000,771400,763700,758500,754400,748800,738900,730800,726100,722300,715700,709300,705400,703600,703000,702800,699700,696000,696400,701200,706900,711000,710300,707100,704000,701600,699400,695300,689300,685500,684200,683400,684600,687100,689100,689300,690600,694900,698500,698100,695000,694200,695900,698200,699000,699100,703900,716700,729600,736900,744400,757700,774300,792500,810800,829400,848200,867100,879100,883200,889300,903900,920400,936900,958400,978400,989600,1005100,1022300,1032000,1039000,1051800,1065800,1075900,1080900,1088200,1103700,1119000
"Bayview",161200,158300,155900,154000,151700,148800,146600,145900,145600,146000,147000,148300,149200,150600,152200,154500,155800,156300,157500,158800,159800,161700,163800,165800,168900,171200,171600,171000,171600,173700,175900,177200,179900,182800,185100,187500,190700,193100,195100,199200,204400,208100,211000,217100,223000,226100,229200,236000,241200,245800,250900,255000,258900,267100,274000,277800,279900,281100,281100,280600,280000,280900,284800,288500,290000,291800,294500,298300,302600,305800,307600,309100,313500,321100,330900,338900,344600,348200,352000,354800,357500,361900,366500,367200,367000,368600,370300,372600,379200,386900,395800,405400,416500,427200,438200,451200,464700,468700,465800,464900,466700,466800,468100,471800,476700,482700,492300,502100,510400,518300,524200,530200,536900,544500,551700,556900,557900,557500,557400,558200,561600,570300,581000,586600,587300,587900,580800,566600,559200,562700,566600,569500,574200,578100,578000,577400,574800,566300,557100,552700,546600,536800,529700,523600,513400,503000,497000,491400,483700,479000,478900,480400,474800,461100,445800,433700,420700,407100,396700,390100,386000,382800,381700,381400,383700,389800,396000,398500,396600,392600,388700,388100,386700,383900,382000,382300,380700,376800,369800,360600,354200,350200,345900,341300,338600,336300,333100,329500,328400,328900,329700,329400,330400,333600,337800,340900,344400,348500,352400,357100,363000,367800,372700,379300,388300,400400,414900,428500,443700,459800,473100,481800,488500,497300,505600,517300,535300,553700,565300,572200,577700,584400,589900,592700,597900,604600,613700,629600,646100
"Downtown",252300,245200,237800,231600,231000,232300,233400,233700,236600,240100,240900,240500,240900,242500,246400,252800,256900,257800,259200,264100,270000,275000,282300,292300,302300,311600,321800,335000,340900,341000,344000,352200,358900,364000,363100,358500,358600,362800,365800,368400,374700,381900,390000,395800,400000,409300,425300,436900,448500,465200,479400,479200,479800,486300,490400,490300,489400,483700,486800,508000,526900,533600,538200,548000,568000,588500,586600,569300,560500,563400,566200,567000,567700,567000,566800,575100,576100,569600,573200,584200,583400,576400,569300,556600,548300,553300,570400,580300,578700,575900,575100,578300,588900,601400,611100,621500,620600,606700,587900,576600,573700,571500,571900,578000,586600,591100,592000,592300,594100,601900,611900,619800,624800,633800,644200,655500,668200,682400,686700,687000,691700,695300,693600,698400,706500,714500,722300,724900,722800,722600,730200,744900,762100,767500,758900,742000,729700,728500,733000,734100,732000,725200,719700,715500,713000,710800,713100,709200,704100,695000,687800,685700,681000,663200,642900,626000,615600,617100,621300,624000,624800,620900,617700,621800,621700,621300,626200,629000,623400,615600,608100,604000,603100,605800,602700,591700,587200,594700,597000,589200,584600,587900,593800,597600,596500,596600,600200,599700,597800,603000,610700,617800,624900,632600,645200,665000,684300,695800,689100,668900,657400,666600,683600,698500,703100,705000,714300,732000,749100,764800,779900,793500,805100,816700,831000,839400,849400,859700,860800,852700,848100,842900,845700,874500,906700,905400,896700,912600,932500
"South of Market",246100,240900,238600,237600,237500,238300,240300,242100,246100,250700,253200,255900,263200,270600,275000,279800,284500,288100,291200,294700,297600,300900,304500,312300,321000,327100,333500,341200,347500,352700,354900,356900,360200,363100,366100,369700,372200,377000,385300,395900,405800,416500,433400,451300,466800,482300,495000,501900,516000,537300,554200,550700,546300,551300,560800,565900,576200,583400,590300,595300,595000,581700,569800,568600,572400,569600,559500,549000,540800,535800,530400,524700,520500,523200,532000,544700,552400,551400,543500,538000,532800,527200,522800,521400,520800,522600,522700,524200,530500,538600,546000,553600,558100,566300,577700,588500,595400,601000,606300,612600,618600,627700,638600,649200,662700,678900,695000,712700,723900,726800,727700,725300,719900,715100,721200,738300,754700,757700,753200,747600,752600,763300,768500,767500,768200,772100,772800,763000,749100,741300,742100,749100,755200,758900,762200,767600,773300,778300,778700,775900,773700,774000,774300,772600,771500,770100,768400,765000,758900,748000,738200,729700,720700,711500,704600,697900,688600,678700,670700,667300,665000,662600,660900,664300,668500,673500,674900,670700,664900,664500,664400,660800,657200,657300,656000,653400,652700,651700,647800,643300,639800,636600,633000,631400,632900,633600,637300,646100,655300,658000,659400,660800,663000,668800,684000,702300,718100,738100,762000,777900,786900,796700,805900,818300,837600,857700,875900,892600,908100,921600,930100,932800,936900,945800,954500,964800,981100,995400,1000800,1003900,1008800,1012000,1014600,1020600,1032300,1047400,1068200,1091800,1110700
"Central Sunset",265300,267700,268500,269500,270100,270600,272500,275400,277200,278900,281800,285000,287300,289400,291300,294500,299500,304100,306800,309200,313100,318300,322900,326900,330500,333800,337000,340800,345200,349600,354500,357900,359100,360100,360200,357500,356500,359400,363900,368400,372900,377800,383300,390700,399000,409100,419900,432100,444000,454200,459600,462100,463100,465200,468500,473600,480500,484500,484600,484200,481200,478700,482000,487200,491200,494900,496900,497000,497700,500600,504300,506800,513800,527700,541900,550800,558700,567400,572900,577000,581300,582800,583000,585100,586600,586300,588300,594200,600700,606500,614500,624300,634800,645400,657000,670100,681600,687200,687700,690000,694100,698800,708600,721900,732500,745200,761300,774600,781700,782200,782800,787800,794100,798500,798800,791200,783800,780600,775000,765300,762900,768000,771300,769500,767700,765800,760700,756500,756700,761300,770500,782400,793500,805700,817000,825500,830900,835400,838500,839600,833900,825600,817800,809400,799100,788800,776800,764000,752300,742800,739500,742700,742900,735700,729500,727600,723800,717100,714100,715000,715300,714300,713200,712200,713400,718000,722900,723700,720700,718900,719300,716800,714300,712400,709000,705500,705700,704600,697400,688000,683100,680900,678400,677000,676800,675600,674800,675300,676700,676700,675400,674800,678000,684300,691900,700500,709900,722600,739900,756900,768700,776300,785600,799400,814600,827000,841000,855900,868100,875100,876100,873200,873800,880200,888600,895500,903000,912300,920100,925700,933400,941300,944900,946800,951000,959600,969700,986400,1004400
"Visitacion Valley",160500,160300,161100,161600,162200,163200,164100,165100,166500,167000,167400,168600,170400,172400,175500,178800,180600,181300,182600,184700,186700,188300,190600,193800,197200,199400,200100,200100,200100,199800,199600,200800,202900,205100,207000,208900,210900,213300,216800,221400,226100,231200,237400,244900,252700,259800,264500,268600,273300,277300,279100,280200,282100,284800,286800,287800,288500,289200,293400,299500,302800,303700,306200,310300,314700,320500,326400,331000,335300,341000,345200,347500,351400,358500,366300,372600,377500,379900,381600,383800,386000,387500,388600,389300,390800,394300,399000,405400,412600,419700,426200,432600,438700,445200,452700,463500,473700,479000,479600,480300,483100,489200,498200,509000,521900,535700,548700,558600,567500,579100,593100,605100,614000,620600,625800,630000,632000,632100,630700,630600,633100,635300,634800,632800,634600,639800,639900,632100,625200,622200,622800,625900,628700,627500,626900,629100,627400,616100,602800,592100,580100,567600,557000,543800,530100,519700,509200,496800,486200,477900,471600,467200,464100,460900,457400,453300,448900,445800,444400,441600,438000,437900,441600,446500,450500,453600,455200,455700,453900,450300,446100,443100,440400,438200,436300,433800,430400,426700,421300,414600,409200,404700,400100,397900,396600,394200,392300,391900,392000,392500,393300,395200,400900,410200,420000,428500,437100,445800,453700,460800,467100,471900,475900,480500,489300,501300,515000,529400,542200,549100,551100,552100,555000,558300,560900,562600,565000,568100,569200,566500,563000,563000,567600,576200,586100,596600,611200,631000,648300
"Parkside",249300,254300,258200,260700,262000,263000,264200,266200,268600,271100,274000,276600,279300,282400,285500,289100,292500,294800,296600,298100,300600,305500,310600,314100,316700,318900,321000,323600,326600,329100,330300,331300,332800,334800,337100,339500,342200,346500,351900,357200,360800,363900,369100,377300,386200,395900,406300,414300,416200,414600,414500,417100,422100,429000,437700,445000,449700,450400,450500,453000,457600,462400,466900,471100,475500,481500,486500,488400,487600,486600,486700,489000,495000,506100,518100,525900,531400,535900,537900,540500,545800,550900,552800,552200,552500,553700,555100,559800,567600,574800,582000,592100,604700,618400,632900,647400,659100,664200,666200,670600,675800,681000,689700,699800,708300,718300,731500,745900,756300,762100,767000,772300,777100,783400,787100,785300,783000,781600,778000,772400,769500,768000,768900,768600,765900,759100,752300,747400,746800,749200,754500,761100,769800,784300,796700,802900,805800,811100,813800,811900,804000,797300,791700,785300,775800,766300,754800,741400,730800,723700,719300,718900,715800,706000,696800,690800,685900,680800,677900,680100,683600,683500,682000,683000,687700,694100,699200,700900,700900,699600,698700,696200,693800,692700,692800,691700,691400,689700,682900,673800,667000,662900,660700,660000,657200,653300,650700,649800,650100,650200,649900,649900,653200,660400,668600,676500,685700,696300,706900,716400,724200,735300,747600,757400,764400,771300,778000,785900,793100,797900,800600,801100,800800,800500,804100,812300,825400,837500,846900,853800,862200,869800,877700,885600,894900,905200,918100,937700,957600
